"filename", "language", "Markdown", "JavaScript", "PHP", "CSS", "JSON", "XML", "YAML", "JavaScript JSX", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\frontend\src\components\tables\CustomersButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\CustomersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\DeleteButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"z:\Projects\mstender\frontend\src\components\tables\DetailsButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"z:\Projects\mstender\frontend\src\components\tables\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"z:\Projects\mstender\frontend\src\components\tables\EditButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\EmailButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\Export.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"z:\Projects\mstender\frontend\src\components\tables\ExportDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 2, 10, 86
"z:\Projects\mstender\frontend\src\components\tables\FilterButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 5, 21
"z:\Projects\mstender\frontend\src\components\tables\IconButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"z:\Projects\mstender\frontend\src\components\tables\ImagePreviewButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 4, 9, 73
"z:\Projects\mstender\frontend\src\components\tables\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 10, 21, 130
"z:\Projects\mstender\frontend\src\components\tables\SeeInvoiceButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
"z:\Projects\mstender\frontend\src\components\tables\SeePaymentButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\SelectOption.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"z:\Projects\mstender\frontend\src\components\tables\WhatsappButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\components\widgets\NotificationWidgets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 227, 0, 12, 67, 306
"z:\Projects\mstender\frontend\src\components\widgets\ProfileWidgets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 13, 128
"z:\Projects\mstender\frontend\src\components\widgets\ThemeWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 24, 138
"z:\Projects\mstender\frontend\src\components\widgets\TimeWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 7, 33
"z:\Projects\mstender\frontend\src\components\wrappers\DeviceWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 19, 10, 72
"z:\Projects\mstender\frontend\src\context\SettingsContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 12, 93
