"filename", "language", "PHP", "Markdown", "JavaScript", "JSON", "CSS", "JavaScript JSX", "XML", "YAML", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\frontend\src\components\layout\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 225, 0, 0, 0, 57, 43, 325
"z:\Projects\mstender\frontend\src\components\layout\Topbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 17, 70
"z:\Projects\mstender\frontend\src\components\notifications\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"z:\Projects\mstender\frontend\src\components\tables\AddButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"z:\Projects\mstender\frontend\src\components\tables\AddPaymentButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"z:\Projects\mstender\frontend\src\components\tables\BadgeButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 9, 11, 80
"z:\Projects\mstender\frontend\src\components\tables\BulkAction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 12, 5, 66
"z:\Projects\mstender\frontend\src\components\tables\CallButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\components\tables\CloseButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"z:\Projects\mstender\frontend\src\components\tables\ConfirmDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 6, 10, 86
"z:\Projects\mstender\frontend\src\components\tables\CopyButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 3, 18
"z:\Projects\mstender\frontend\src\components\tables\CopyLinkButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 5, 35
"z:\Projects\mstender\frontend\src\components\tables\CreateGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\CreateInvoiceButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\CustomersButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\CustomersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\DeleteButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"z:\Projects\mstender\frontend\src\components\tables\DetailsButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"z:\Projects\mstender\frontend\src\components\tables\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"z:\Projects\mstender\frontend\src\components\tables\EditButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\EmailButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\Export.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"z:\Projects\mstender\frontend\src\components\tables\ExportDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 2, 10, 86
"z:\Projects\mstender\frontend\src\components\tables\FilterButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"z:\Projects\mstender\frontend\src\components\tables\IconButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"z:\Projects\mstender\frontend\src\components\tables\ImagePreviewButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 9, 73
"z:\Projects\mstender\frontend\src\components\tables\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 4, 65
"z:\Projects\mstender\frontend\src\components\tables\SeeInvoiceButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 2, 17
"z:\Projects\mstender\frontend\src\components\tables\SeePaymentButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\SelectOption.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"z:\Projects\mstender\frontend\src\components\tables\WhatsappButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\components\widgets\NotificationWidgets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 227, 0, 0, 0, 12, 67, 306
"z:\Projects\mstender\frontend\src\components\widgets\ProfileWidgets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 13, 128
"z:\Projects\mstender\frontend\src\components\widgets\ThemeWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 24, 138
"z:\Projects\mstender\frontend\src\components\widgets\TimeWidget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 7, 33
"z:\Projects\mstender\frontend\src\context\SettingsContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 12, 93
"z:\Projects\mstender\frontend\src\data\SidebarMenu copy.json", "JSON", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 3, 114
"z:\Projects\mstender\frontend\src\data\SidebarMenu.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 10, 100
"z:\Projects\mstender\frontend\src\data\env.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 9, 33
"z:\Projects\mstender\frontend\src\data\toastCfg.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"z:\Projects\mstender\frontend\src\database\Axios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 2, 15
"z:\Projects\mstender\frontend\src\database\Context.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
